Location,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,Oc,Total,Notes Month of Feb. 2020
Agege,0,5,2,2,3,3,0,2,2,5,2,1,3,6,2,7,5,3,9,4,3,9,2,5,7,7,3,8,7,6,6,3,8,5,7,4,6,9,6,6,6,6,3,7,7,9,10,5,2,6,2,4,11,3,6,6,3,6,4,3,7,4,7,2,5,1,5,3,3,3,1,3,8,1,5,3,8,4,9,4,6,2,,386,
Ajeromi-Ifelodun,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,1,0,1,4,-1,1,3,2,3,3,2,0,0,1,1,1,0,1,0,1,0,0,1,3,2,3,1,1,2,7,1,1,2,0,1,1,2,1,2,0,0,0,1,2,1,0,0,2,2,0,1,0,,71,
Alimosho,4,6,5,0,7,6,1,5,2,1,3,4,10,9,4,2,4,15,5,5,12,10,8,7,11,11,17,16,15,8,9,16,12,14,29,22,14,22,11,11,11,7,10,20,20,3,16,15,22,20,32,18,24,24,15,21,18,12,18,16,14,15,10,21,11,15,19,18,21,16,13,17,33,29,19,21,14,14,24,23,13,8,,1103,
Amuwo Odofin,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,4,0,0,0,7,2,0,4,4,3,0,3,3,1,3,4,2,4,4,2,5,3,3,1,0,1,3,3,2,4,1,3,0,1,1,1,1,3,1,1,1,1,1,1,0,3,0,3,1,1,2,1,2,0,3,1,1,1,2,,120,
Apapa,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,1,0,0,1,4,3,5,4,5,7,3,2,3,1,0,1,2,2,1,3,5,2,3,3,1,4,2,5,0,3,2,3,2,4,3,1,1,1,1,2,0,3,1,0,0,0,2,2,0,1,2,4,1,0,,122,
Badagry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,3,1,1,0,2,1,0,1,4,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,,28,
Epe,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,20,
Eti-Osa,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,1,2,0,0,0,0,1,1,2,1,1,5,1,5,1,0,1,3,4,3,1,3,2,3,1,1,3,5,1,1,1,1,0,2,1,3,0,,72,
Ibeju-Lekki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,1,3,1,0,1,0,3,1,1,1,0,0,1,1,4,0,0,3,2,4,0,3,3,0,0,0,1,2,6,1,3,0,5,0,,68,
Ifako-Ijaiye,1,1,3,2,1,2,0,4,4,2,2,4,2,5,4,9,5,5,4,1,4,2,2,9,5,10,7,9,16,11,9,11,11,7,6,13,12,11,7,3,4,11,3,4,4,8,3,8,6,3,6,4,6,5,6,7,10,4,9,3,6,3,7,6,12,4,7,7,4,4,6,6,3,13,5,9,7,11,12,14,13,1,,500,
